,9,9,9,1,1,1,1
,0,1,1,2,1,1,3
,0,4,3,3,1,1,3
,0,6,5,4,1,1,3
,0,6,5,4,1,1,3
,3,1,1,5,1,1,2
,3,1,1,5,1,1,2
,6,3,3,6,1,1,2
,6,3,3,6,1,1,2
,1,2,1,7,1,1,1
,1,2,1,7,1,1,1
,3,2,2,8,1,1,1
,3,2,2,8,1,1,1
,4,2,4,9,1,1,1
,4,2,4,9,1,1,1
,3,5,3,10,1,1,1
,3,5,3,10,1,1,1
,5,7,5,11,1,1,1
,5,7,5,11,1,1,1
,6,8,7,12,1,1,1
,6,8,7,12,1,1,1
,9,9,9,13,2,1,1
,0,2,1,14,2,1,3
,0,5,3,15,2,1,3
,0,7,5,16,2,1,3
,3,1,1,17,2,1,2
,3,1,1,17,2,1,2
,6,3,3,18,2,1,2
,6,3,3,18,2,1,2
,1,1,1,19,2,1,1
,1,1,1,19,2,1,1
,3,2,2,20,2,1,1
,3,2,2,20,2,1,1
,3,4,3,21,2,1,1
,3,4,3,21,2,1,1
,4,2,4,22,2,1,1
,4,2,4,22,2,1,1
,5,6,5,23,2,1,1
,5,6,5,23,2,1,1
,6,8,7,24,2,1,1
,6,8,7,24,2,1,1
